ticker,industry,name,period,unit,value,group
VLC,Thực phẩm và đồ uống,Tỷ lệ hoàn thành LNST,Q3-2024,%,0.1305,So với kế hoạch
HAG,Thực phẩm và đồ uống,Tỷ lệ hoàn thành LNST,Q2-2024,%,0.3618,So với kế hoạch
DBC,Thực phẩm và đồ uống,Tỷ lệ hoàn thành LNST,Q2-2024,%,0.2988,So với kế hoạch
BAF,Thực phẩm và đồ uống,Tỷ lệ hoàn thành LNST,Q2-2024,%,0.5033,So với kế hoạch
VLC,Thực phẩm và đồ uống,Tỷ lệ hoàn thành LNST,Q2-2024,%,0.0639,So với kế hoạch
HAG,Thực phẩm và đồ uống,Tỷ suất cổ tức,Q2-2025,%,0.0,Cổ tức
DBC,Thực phẩm và đồ uống,Tỷ suất cổ tức,Q2-2025,%,0.0,Cổ tức
BAF,Thực phẩm và đồ uống,Tỷ suất cổ tức,Q2-2025,%,0.0,Cổ tức
VLC,Thực phẩm và đồ uống,Tỷ suất cổ tức,Q2-2025,%,0.0,Cổ tức
HAG,Thực phẩm và đồ uống,Tỷ suất cổ tức,Q1-2025,%,0.0,Cổ tức
DBC,Thực phẩm và đồ uống,Tỷ suất cổ tức,Q1-2025,%,0.0,Cổ tức
BAF,Thực phẩm và đồ uống,Tỷ suất cổ tức,Q1-2025,%,0.0,Cổ tức
VLC,Thực phẩm và đồ uống,Tỷ suất cổ tức,Q1-2025,%,0.0,Cổ tức
HAG,Thực phẩm và đồ uống,Tỷ suất cổ tức,Q4-2024,%,0.0,Cổ tức
DBC,Thực phẩm và đồ uống,Tỷ suất cổ tức,Q4-2024,%,0.0,Cổ tức
BAF,Thực phẩm và đồ uống,Tỷ suất cổ tức,Q4-2024,%,0.0,Cổ tức
VLC,Thực phẩm và đồ uống,Tỷ suất cổ tức,Q4-2024,%,0.0,Cổ tức
HAG,Thực phẩm và đồ uống,Tỷ suất cổ tức,Q3-2024,%,0.0,Cổ tức
DBC,Thực phẩm và đồ uống,Tỷ suất cổ tức,Q3-2024,%,0.0,Cổ tức
