ticker,industry,name,period,unit,value
LHC,Xây dựng và Vật liệu,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,607360000000.0
DTD,Bất động sản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,878660000000.0
CLX,Thực phẩm và đồ uống,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,258660000000.00003
VTZ,Hóa chất,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,2178449999999.9998
ACC,Xây dựng và Vật liệu,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,1752680000000.0
GHC,"Điện, nước & xăng dầu khí đốt",I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,317640000000.0
NHH,Hóa chất,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,835180000000.0
OGC,Dịch vụ tài chính,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,676240000000.0
L18,Xây dựng và Vật liệu,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,4530210000000.0
NCG,Thực phẩm và đồ uống,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,2070340000000.0002
CSM,Ô tô và phụ tùng,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,2907850000000.0
IDJ,Bất động sản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,2860750000000.0
TTF,Tài nguyên Cơ bản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,1360560000000.0
SZL,Bất động sản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,257680000000.0
LDG,Bất động sản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,3413320000000.0
DC4,Xây dựng và Vật liệu,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,1971370000000.0
VNB,Truyền thông,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,347160000000.0
